species_code,season,start_year,end_year,start_date,end_date,srd_id,longitude,latitude,abd,abd_ppy,abd_ppy_lower,abd_ppy_upper,abd_ppy_nonzero,abd_trend,abd_trend_lower,abd_trend_upper
woothr,breeding,2012,2022,05-31,08-23,282911,-8129741.685055342,5589547.500898144,0.3264243599934162,-0.984523110151946,-2.119004361127315,0.22065624612659684,False,-9.420308936530475,-19.279511186608435,2.228602013807235
woothr,breeding,2012,2022,05-31,08-23,282912,-8092122.444746696,5589548.4310758365,0.34428144622214835,-1.8363683435138312,-4.171369677938962,-0.5259164376141748,True,-16.918147508310188,-34.6940414640561,-5.136429313907087
woothr,breeding,2012,2022,05-31,08-23,282913,-8054503.300170426,5589546.7284348495,0.25111980925261973,-1.992609094511554,-3.082557102874567,-0.6841581560367769,True,-18.23107688492399,-26.882813712127774,-6.634746181030127
woothr,breeding,2012,2022,05-31,08-23,282914,-8016884.160206397,5589545.028704962,0.16508940665065747,-0.9632706558261326,-3.3331209230531833,1.0070185514961845,False,-9.225702879905384,-28.751295061316252,10.538997413354956
woothr,breeding,2012,2022,05-31,08-23,282915,-7979264.956883319,5589545.026594669,0.15263359850454508,-3.1684242288000717,-4.262196411161799,-0.5145325222921161,True,-27.52804228763329,-35.310380446984034,-5.02781055327568
woothr,breeding,2012,2022,05-31,08-23,282916,-7941645.802675342,5589543.840461293,0.10184806569364291,-3.1388436247193283,-7.184067648319152,0.973645707563466,False,-27.306346661057123,-52.55119098704078,10.174317734169902
woothr,breeding,2012,2022,05-31,08-23,282917,-7904026.631068603,5589543.136712217,0.06801093106868902,-2.00296150922454,-3.5159364926884797,-0.5378878465301522,True,-18.317407470658974,-30.087334795870348,-5.250532980700406
woothr,breeding,2012,2022,05-31,08-23,282918,-7866407.4303353345,5589543.135596026,0.05643333448376011,-1.8429504025334962,-3.0082570953048373,-0.6320698887517566,True,-16.97383867151644,-26.320336273117807,-6.143915304044989
woothr,breeding,2012,2022,05-31,08-23,282919,-7828788.19765458,5589543.835755958,0.10114812874327751,-2.9730962030017034,-4.953653154008774,-0.9299621683284761,True,-26.052800822776945,-39.8335632467081,-8.919944127759937
woothr,breeding,2012,2022,05-31,08-23,282920,-7791168.996012284,5589543.8340892885,0.0986319801402948,-1.733509644778326,-3.376773399417891,-0.5411921476160654,True,-16.043475412995946,-29.072384338334743,-5.282005665050516
woothr,breeding,2012,2022,05-31,08-23,282921,-7753549.843603113,5589542.813104568,0.05148550764334686,-1.7056301353289507,-4.1354197056862985,-0.26477568817283026,True,-15.804975256302,-34.44863309808366,-2.6164308275026027
woothr,breeding,2012,2022,05-31,08-23,282922,-7715930.657522544,5589542.526279075,0.031035769396706082,-2.5793811941344345,-5.7001130318204165,-0.4973527357927854,True,-22.996788476899233,-44.39527186240888,-4.863679000894583
