species_code,season,start_year,end_year,start_date,end_date,srd_id,longitude,latitude,abd,abd_ppy,abd_ppy_lower,abd_ppy_upper,abd_ppy_nonzero,abd_trend,abd_trend_lower,abd_trend_upper
woothr,breeding,2012,2022,05-31,08-23,251326,-96.32998030221735,49.832434458409764,0.0001049202688993354,2.986400813450862,1.0252937350932219,4.9367388957000164,True,34.21430478118592,10.739158357167188,61.91073177447382
woothr,breeding,2012,2022,05-31,08-23,252827,-96.22547278508198,49.592628097015684,0.00038308529725194747,3.0734248156169492,0.2634526161231231,7.370113884569086,True,35.35274432518265,2.6659798788652544,103.62642545735557
woothr,breeding,2012,2022,05-31,08-23,252828,-95.85552591735357,49.592628097015684,0.00048455748586340733,4.448787253848307,2.815303336276398,7.611543357360767,True,54.53754826338595,32.001118615911196,108.25172171911342
woothr,breeding,2012,2022,05-31,08-23,252829,-95.48557904962517,49.592628097015684,0.001020240943258232,4.580042091533923,2.397339700137452,8.650124849033842,True,56.49055215213963,26.73213095550451,129.24627997339832
woothr,breeding,2012,2022,05-31,08-23,252830,-95.11563218189674,49.592628097015684,0.00045883063158932665,3.333923936029217,1.0876246906432265,7.890298762453888,True,38.81270370744072,11.42430096724889,113.70956345366051
woothr,breeding,2012,2022,05-31,08-23,254327,-96.49180540626432,49.3528217356216,0.0026918020826159775,2.8801122193496322,1.7331907731308953,4.73675809477799,True,32.835542266789,18.748097340811377,58.85148204688455
woothr,breeding,2012,2022,05-31,08-23,254328,-96.12366529137141,49.3528217356216,0.0114966902345097,5.040610830381171,3.384521791320644,7.949853891256544,True,63.52056758495055,39.49390511789632,114.89216858588809
woothr,breeding,2012,2022,05-31,08-23,254329,-95.75552517647844,49.3528217356216,0.012787191721011767,6.0646182941098505,4.0701241440646525,9.811060623168544,True,80.1794818284152,49.02554757727058,154.95343199584482
woothr,breeding,2012,2022,05-31,08-23,254330,-95.38738506158552,49.3528217356216,0.026815425325121014,2.784427106800252,1.0523979011337776,7.846316222000075,True,31.60524433733962,11.036620383454231,112.83995188664755
woothr,breeding,2012,2022,05-31,08-23,254331,-95.01924494669261,49.3528217356216,0.020374728460237287,4.03879949954611,2.086455268637231,7.485641700037752,True,48.57759438543048,22.936612323612525,105.8280387368315
woothr,breeding,2012,2022,05-31,08-23,254332,-94.65110483179964,49.3528217356216,0.011240847518966536,1.3180979841175562,-1.2347221395637944,6.259447380346846,False,13.990926377121538,-11.683286605959097,83.51667399662884
woothr,breeding,2012,2022,05-31,08-23,254333,-94.28296471690672,49.3528217356216,0.009598473475724303,0.5980844426174772,-1.8384377150758606,3.561213966301958,False,6.144405993864166,-16.935660197196967,41.89638352053233
woothr,breeding,2012,2022,05-31,08-23,254334,-93.9148246020138,49.3528217356216,0.004325530001548221,-0.8521192421490965,-3.5864725468192296,1.482332003277756,False,-8.201759344740346,-30.596763171715224,15.852226565417649
woothr,breeding,2012,2022,05-31,08-23,254335,-93.54668448712084,49.3528217356216,0.0002480121077410291,-0.776768875379402,-2.509031792851797,2.1555036509097616,False,-7.501720709008164,-22.43892228587121,23.770656102917997
woothr,breeding,2012,2022,05-31,08-23,254336,-93.17854437222792,49.3528217356216,0.00010447967882191512,-1.8078910752625297,-4.552679956155987,0.7938275419745573,False,-16.67681218151641,-37.24658158874693,8.227935467206947
woothr,breeding,2012,2022,05-31,08-23,254337,-92.810404257335,49.3528217356216,0.0006307032753083143,-0.8124513987195927,-2.829787274427791,1.9039946681457254,False,-7.833823970399035,-24.95331123644694,20.75693688118836
woothr,breeding,2012,2022,05-31,08-23,255828,-96.39087864094294,49.11301537422752,0.0003099784240191013,1.698808544732284,-0.783531421034818,4.256592696444992,False,18.347380481424924,-7.564743452605594,51.717358429831584
woothr,breeding,2012,2022,05-31,08-23,255829,-96.02452133043057,49.11301537422752,0.020528320234703537,6.6393925803179075,3.837251260587589,8.386490933359212,True,90.1851601674677,45.72425084695304,123.74408356608977
woothr,breeding,2012,2022,05-31,08-23,255830,-95.65816401991817,49.11301537422752,0.03466470687720084,3.4649774523843795,1.5007691737416993,7.719694589889413,True,40.583280858696824,16.06287745788608,110.35417406794426
woothr,breeding,2012,2022,05-31,08-23,255831,-95.29180670940576,49.11301537422752,0.027598627861027233,3.940192042966775,1.2992381078025632,10.625497119513296,True,47.17537431183763,13.778915406147462,174.50632337102516
woothr,breeding,2012,2022,05-31,08-23,255832,-94.92544939889339,49.11301537422752,0.018433721247830208,3.267162268337632,0.18488815312515516,7.424395999261423,True,37.91846973617539,1.8643402520876817,104.65822592453189
woothr,breeding,2012,2022,05-31,08-23,255833,-94.55909208838102,49.11301537422752,0.03611899559179662,3.3399589200279767,-0.043295597428989814,5.752371367571361,False,38.8937954355469,-0.4321134185076181,74.94484374655583
woothr,breeding,2012,2022,05-31,08-23,255834,-94.19273477786861,49.11301537422752,0.03624343569515255,2.35214209709802,-2.0668131439973747,4.92835399655831,False,26.173852333380722,-18.848066496178117,61.781404608333325
woothr,breeding,2012,2022,05-31,08-23,255835,-93.82637746735622,49.11301537422752,0.01752201743916411,-0.053255890321136756,-2.4114561165274653,3.351507821656041,False,-0.5312844286147311,-21.659131930393706,39.049096224393544
woothr,breeding,2012,2022,05-31,08-23,255836,-93.46002015684385,49.11301537422752,0.018452302958037042,-0.9754883877031519,-3.1800761294222792,0.6329133965529066,False,-9.337625047159182,-27.61520176361162,6.512471020187016
